Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated
Origine come arma biologica,Origine come arma biologica,Teorie del complotto,"['/wiki/SARS-CoV-2', '/wiki/Organizzazione_mondiale_della_sanità', '/wiki/Salto_di_specie', '/wiki/Organizzazione_mondiale_della_sanità', '/wiki/Tedros_Adhanom', '/wiki/COVID-19', '/wiki/Wuhan', '/wiki/Microrganismo', '/wiki/Luc_Montagnier', '/wiki/Tasuku_Honjo', '/wiki/TGR_Leonardo', '/wiki/Ingegneria_genetica', '/wiki/Coronaviridae', '/wiki/SARS-CoV-2', '/wiki/Nucleotide', '/wiki/Cina', '/wiki/Iran', '/wiki/Antisemitismo', '/wiki/Antivaccinismo', '/wiki/Ebrei']","['https://it.wikipedia.org/wiki/SARS-CoV-2', 'https://it.wikipedia.org/wiki/Organizzazione_mondiale_della_sanità', 'https://it.wikipedia.org/wiki/Salto_di_specie', 'https://it.wikipedia.org/wiki/Organizzazione_mondiale_della_sanità', 'https://it.wikipedia.org/wiki/Tedros_Adhanom', 'https://it.wikipedia.org/wiki/COVID-19', 'https://it.wikipedia.org/wiki/Wuhan', 'https://it.wikipedia.org/wiki/Microrganismo', 'https://it.wikipedia.org/wiki/Luc_Montagnier', 'https://it.wikipedia.org/wiki/Tasuku_Honjo', 'https://it.wikipedia.org/wiki/TGR_Leonardo', 'https://it.wikipedia.org/wiki/Ingegneria_genetica', 'https://it.wikipedia.org/wiki/Coronaviridae', 'https://it.wikipedia.org/wiki/SARS-CoV-2', 'https://it.wikipedia.org/wiki/Nucleotide', 'https://it.wikipedia.org/wiki/Cina', 'https://it.wikipedia.org/wiki/Iran', 'https://it.wikipedia.org/wiki/Antisemitismo', 'https://it.wikipedia.org/wiki/Antivaccinismo', 'https://it.wikipedia.org/wiki/Ebrei']",Conspiracy theories,Origin as a biological weapon,Origin as a biological weapon
5G,5G,Teorie del complotto,"['/wiki/5G', '/wiki/Gunter_Pauli', '/wiki/Giuseppe_Conte', '/wiki/Spettro_elettromagnetico', '/wiki/Goccioline_respiratorie', '/wiki/Meme_di_internet', ""/wiki/Banca_d'Inghilterra"", '/wiki/Facebook', '/wiki/YouTube', '/wiki/Tate_Britain', '/wiki/Chitarra_elettrica', '/wiki/USB']","['https://it.wikipedia.org/wiki/5G', 'https://it.wikipedia.org/wiki/Gunter_Pauli', 'https://it.wikipedia.org/wiki/Giuseppe_Conte', 'https://it.wikipedia.org/wiki/Spettro_elettromagnetico', 'https://it.wikipedia.org/wiki/Goccioline_respiratorie', 'https://it.wikipedia.org/wiki/Meme_di_internet', ""https://it.wikipedia.org/wiki/Banca_d'Inghilterra"", 'https://it.wikipedia.org/wiki/Facebook', 'https://it.wikipedia.org/wiki/YouTube', 'https://it.wikipedia.org/wiki/Tate_Britain', 'https://it.wikipedia.org/wiki/Chitarra_elettrica', 'https://it.wikipedia.org/wiki/USB']",Conspiracy theories,5G,5G
Bill Gates e case farmaceutiche,Bill Gates e case farmaceutiche,Teorie del complotto,"['/wiki/Bill_Gates', '/wiki/Melinda_Gates', '/wiki/Microchip_(impianto_umano)', ""/wiki/Partito_Repubblicano_(Stati_Uniti_d'America)"", '/wiki/GlaxoSmithKline', '/wiki/Pfizer']","['https://it.wikipedia.org/wiki/Bill_Gates', 'https://it.wikipedia.org/wiki/Melinda_Gates', 'https://it.wikipedia.org/wiki/Microchip_(impianto_umano)', ""https://it.wikipedia.org/wiki/Partito_Repubblicano_(Stati_Uniti_d'America)"", 'https://it.wikipedia.org/wiki/GlaxoSmithKline', 'https://it.wikipedia.org/wiki/Pfizer']",Conspiracy theories,Bill Gates and pharmaceutical companies,Bill Gates and pharmaceutical companies
Dittatura sanitaria,Dittatura sanitaria,Teorie del complotto,"['/wiki/Dittatura', '/wiki/Maschera_chirurgica', '/wiki/David_Icke', '/wiki/Livio_Fanzaga', '/wiki/Radio_Maria', '/wiki/Tucker_Carlson', '/wiki/Fox_News_Channel', '/wiki/Immuni', '/wiki/Codice_sorgente', '/wiki/Diego_Fusaro', '/wiki/YouTube', '/wiki/Android']","['https://it.wikipedia.org/wiki/Dittatura', 'https://it.wikipedia.org/wiki/Maschera_chirurgica', 'https://it.wikipedia.org/wiki/David_Icke', 'https://it.wikipedia.org/wiki/Livio_Fanzaga', 'https://it.wikipedia.org/wiki/Radio_Maria', 'https://it.wikipedia.org/wiki/Tucker_Carlson', 'https://it.wikipedia.org/wiki/Fox_News_Channel', 'https://it.wikipedia.org/wiki/Immuni', 'https://it.wikipedia.org/wiki/Codice_sorgente', 'https://it.wikipedia.org/wiki/Diego_Fusaro', 'https://it.wikipedia.org/wiki/YouTube', 'https://it.wikipedia.org/wiki/Android']",Conspiracy theories,Health dictatorship,Health dictatorship
Illegittimità dei DPCM italiani,Dittatura sanitaria,Teorie del complotto,"['/wiki/Decreto_ministeriale', '/wiki/Corte_costituzionale_(Italia)', '/wiki/Presidente_della_Repubblica_Italiana', '/wiki/Corte_costituzionale_(Italia)', '/wiki/Costituzione', '/wiki/Giuseppe_Conte', '/wiki/Varese', '/wiki/Sesto_Calende', '/wiki/WhatsApp', ""/wiki/Corte_europea_dei_diritti_dell'uomo""]","['https://it.wikipedia.org/wiki/Decreto_ministeriale', 'https://it.wikipedia.org/wiki/Corte_costituzionale_(Italia)', 'https://it.wikipedia.org/wiki/Presidente_della_Repubblica_Italiana', 'https://it.wikipedia.org/wiki/Corte_costituzionale_(Italia)', 'https://it.wikipedia.org/wiki/Costituzione', 'https://it.wikipedia.org/wiki/Giuseppe_Conte', 'https://it.wikipedia.org/wiki/Varese', 'https://it.wikipedia.org/wiki/Sesto_Calende', 'https://it.wikipedia.org/wiki/WhatsApp', ""https://it.wikipedia.org/wiki/Corte_europea_dei_diritti_dell'uomo""]",Conspiracy theories,Health dictatorship,Illegitimacy of Italian DPCMs
Pandemic Bond,Dittatura sanitaria,Teorie del complotto,"['/wiki/Obbligazione_(finanza)', '/wiki/Banca_Mondiale']","['https://it.wikipedia.org/wiki/Obbligazione_(finanza)', 'https://it.wikipedia.org/wiki/Banca_Mondiale']",Conspiracy theories,Health dictatorship,Pandemic Bond
Origine del virus al di fuori della Cina,Origine del virus al di fuori della Cina,Teorie del complotto,"['/wiki/Twitter', '/wiki/Benny_Benassi', '/wiki/CGTN', '/wiki/Polmonite', '/wiki/Lombardia', '/wiki/Wuhan', '/wiki/Spagna', '/wiki/Inghilterra', '/wiki/Germania', '/wiki/Svizzera', '/wiki/Nuova_Zelanda', '/wiki/Paesi_Bassi', '/wiki/Provo_(Utah)', '/wiki/Roma', '/wiki/Telegram']","['https://it.wikipedia.org/wiki/Twitter', 'https://it.wikipedia.org/wiki/Benny_Benassi', 'https://it.wikipedia.org/wiki/CGTN', 'https://it.wikipedia.org/wiki/Polmonite', 'https://it.wikipedia.org/wiki/Lombardia', 'https://it.wikipedia.org/wiki/Wuhan', 'https://it.wikipedia.org/wiki/Spagna', 'https://it.wikipedia.org/wiki/Inghilterra', 'https://it.wikipedia.org/wiki/Germania', 'https://it.wikipedia.org/wiki/Svizzera', 'https://it.wikipedia.org/wiki/Nuova_Zelanda', 'https://it.wikipedia.org/wiki/Paesi_Bassi', 'https://it.wikipedia.org/wiki/Provo_(Utah)', 'https://it.wikipedia.org/wiki/Roma', 'https://it.wikipedia.org/wiki/Telegram']",Conspiracy theories,Origin of the virus outside China,Origin of the virus outside China
"Critiche ai numeri ufficiali sulle vittime da COVID-19, ospedali e ambulanze vuoti","Critiche ai numeri ufficiali sulle vittime da COVID-19, ospedali e ambulanze vuoti",Teorie negazioniste,"['/wiki/Donald_Trump', '/wiki/Diabete', '/wiki/Ambulanza', '/wiki/La_Stampa', '/wiki/Influenza', '/wiki/Eprint', '/wiki/Revisione_paritaria', '/wiki/Screenshot', '/wiki/WhatsApp', '/wiki/Denis_Mukwege', '/wiki/Premio_Nobel_per_la_pace', '/wiki/Repubblica_Democratica_del_Congo', '/wiki/Gian_Carlo_Blangiardo', '/wiki/Seconda_guerra_mondiale', '/wiki/Cherry_picking', '/wiki/Analfabetismo_funzionale', '/wiki/Commissione_europea', '/wiki/Papa_Francesco', '/wiki/Vladimir_Putin', '/wiki/Bergamo', '/wiki/Ventilazione_artificiale', '/wiki/Israele', '/wiki/Parma', '/wiki/Ragusa', '/wiki/Luca_Parmitano', '/wiki/Agenzia_spaziale_europea', '/wiki/Cambiamento_climatico', '/wiki/Autopsia']","['https://it.wikipedia.org/wiki/Donald_Trump', 'https://it.wikipedia.org/wiki/Diabete', 'https://it.wikipedia.org/wiki/Ambulanza', 'https://it.wikipedia.org/wiki/La_Stampa', 'https://it.wikipedia.org/wiki/Influenza', 'https://it.wikipedia.org/wiki/Eprint', 'https://it.wikipedia.org/wiki/Revisione_paritaria', 'https://it.wikipedia.org/wiki/Screenshot', 'https://it.wikipedia.org/wiki/WhatsApp', 'https://it.wikipedia.org/wiki/Denis_Mukwege', 'https://it.wikipedia.org/wiki/Premio_Nobel_per_la_pace', 'https://it.wikipedia.org/wiki/Repubblica_Democratica_del_Congo', 'https://it.wikipedia.org/wiki/Gian_Carlo_Blangiardo', 'https://it.wikipedia.org/wiki/Seconda_guerra_mondiale', 'https://it.wikipedia.org/wiki/Cherry_picking', 'https://it.wikipedia.org/wiki/Analfabetismo_funzionale', 'https://it.wikipedia.org/wiki/Commissione_europea', 'https://it.wikipedia.org/wiki/Papa_Francesco', 'https://it.wikipedia.org/wiki/Vladimir_Putin', 'https://it.wikipedia.org/wiki/Bergamo', 'https://it.wikipedia.org/wiki/Ventilazione_artificiale', 'https://it.wikipedia.org/wiki/Israele', 'https://it.wikipedia.org/wiki/Parma', 'https://it.wikipedia.org/wiki/Ragusa', 'https://it.wikipedia.org/wiki/Luca_Parmitano', 'https://it.wikipedia.org/wiki/Agenzia_spaziale_europea', 'https://it.wikipedia.org/wiki/Cambiamento_climatico', 'https://it.wikipedia.org/wiki/Autopsia']",Denialist theories,"Criticisms of official numbers on the victims from Covid-19, empty hospitals and ambulances","Criticisms of official numbers on the victims from Covid-19, empty hospitals and ambulances"
Materiale contraffatto o decontestualizzato,Materiale contraffatto o decontestualizzato,Notizie false,"['/wiki/WhatsApp', '/wiki/Shenzhen', '/wiki/Serpentes', '/wiki/Wuhan', '/wiki/BBC', '/wiki/Palmanova', '/wiki/Kamala_Harris', '/wiki/La_vita_in_diretta', '/wiki/Lombardia', '/wiki/Istituto_nazionale_della_previdenza_sociale', '/wiki/Milano', '/wiki/Berlino', '/wiki/QAnon', '/wiki/Anthony_Fauci', '/wiki/Tunisia', '/wiki/Defense_Advanced_Research_Projects_Agency', '/wiki/Il_Giornale']","['https://it.wikipedia.org/wiki/WhatsApp', 'https://it.wikipedia.org/wiki/Shenzhen', 'https://it.wikipedia.org/wiki/Serpentes', 'https://it.wikipedia.org/wiki/Wuhan', 'https://it.wikipedia.org/wiki/BBC', 'https://it.wikipedia.org/wiki/Palmanova', 'https://it.wikipedia.org/wiki/Kamala_Harris', 'https://it.wikipedia.org/wiki/La_vita_in_diretta', 'https://it.wikipedia.org/wiki/Lombardia', 'https://it.wikipedia.org/wiki/Istituto_nazionale_della_previdenza_sociale', 'https://it.wikipedia.org/wiki/Milano', 'https://it.wikipedia.org/wiki/Berlino', 'https://it.wikipedia.org/wiki/QAnon', 'https://it.wikipedia.org/wiki/Anthony_Fauci', 'https://it.wikipedia.org/wiki/Tunisia', 'https://it.wikipedia.org/wiki/Defense_Advanced_Research_Projects_Agency', 'https://it.wikipedia.org/wiki/Il_Giornale']",Fake news,Counterfeit or decontextualized material,Counterfeit or decontextualized material
Cina,Materiale contraffatto o decontestualizzato,Notizie false,"['/wiki/Twitter', '/wiki/Wuhan', '/wiki/Rabbia', '/wiki/Wuhan', '/wiki/America_meridionale']","['https://it.wikipedia.org/wiki/Twitter', 'https://it.wikipedia.org/wiki/Wuhan', 'https://it.wikipedia.org/wiki/Rabbia', 'https://it.wikipedia.org/wiki/Wuhan', 'https://it.wikipedia.org/wiki/America_meridionale']",Fake news,Counterfeit or decontextualized material,Chinese
